Date,Product_Category,Product_Price,Quantity,Customer_Age,Customer_Gender,Store_Location,Discount_Applied,Payment_Method,Season,Total_Revenue
2023-01-01 00:00:00,Books,30.19065605759722,1,47,F,Center,5,Credit,Winter,28.681123254717356
2023-01-01 01:00:00,Sports,89.87736415857786,2,40,F,East,0,Digital,Summer,179.75472831715572
2023-01-01 02:00:00,Books,6.597139453937355,4,37,F,East,5,Digital,Fall,25.069129924961945
2023-01-01 03:00:00,Clothing,29.81055231804301,2,47,F,South,5,Debit,Fall,56.64004940428171
2023-01-01 04:00:00,Home,126.8966938015615,4,35,M,North,5,Cash,Winter,482.2074364459337
2023-01-01 05:00:00,Books,169.89131849384086,3,9,F,East,5,Debit,Spring,484.1902577074464
2023-01-01 06:00:00,Home,48.962474540142644,5,35,M,Center,0,Cash,Spring,244.8123727007132
2023-01-01 07:00:00,Clothing,56.943167546326,3,38,F,West,5,Debit,Winter,162.28802750702908
2023-01-01 08:00:00,Clothing,6.909108649636546,4,35,F,West,0,Debit,Summer,27.636434598546185
2023-01-01 09:00:00,Electronics,29.50457933988628,5,35,F,West,10,Digital,Fall,132.77060702948827
2023-01-01 10:00:00,Clothing,21.944084902225622,6,27,M,South,10,Debit,Summer,118.49805847201836
2023-01-01 11:00:00,Clothing,29.37134649771101,3,34,M,North,15,Cash,Summer,74.89693356916307
2023-01-01 12:00:00,Electronics,30.558879865194854,4,24,F,South,10,Credit,Spring,110.01196751470148
2023-01-01 13:00:00,Electronics,12.629880997263372,1,23,M,West,0,Cash,Summer,12.629880997263372
2023-01-01 14:00:00,Clothing,13.045209049742956,2,35,M,Center,15,Credit,Fall,22.176855384563027
2023-01-01 15:00:00,Home,10.216350262284251,2,24,M,West,0,Debit,Fall,20.432700524568503
2023-01-01 16:00:00,Sports,6.301419261094225,1,37,M,South,20,Cash,Summer,5.04113540887538
2023-01-01 17:00:00,Electronics,24.774967278982846,6,26,F,South,0,Digital,Winter,148.64980367389708
2023-01-01 18:00:00,Electronics,25.978679593749643,1,51,M,West,0,Credit,Winter,25.978679593749643
2023-01-01 19:00:00,Sports,11.133618209736252,2,62,M,Center,0,Cash,Fall,22.267236419472503
2023-01-01 20:00:00,Clothing,17.846618306534506,3,56,M,Center,0,Digital,Spring,53.53985491960351
2023-01-01 21:00:00,Home,13.977284009447384,3,33,M,Center,15,Cash,Winter,35.64207422409083
2023-01-01 22:00:00,Books,9.817270569493456,3,41,F,West,0,Credit,Winter,29.451811708480367
2023-01-01 23:00:00,Sports,22.90774359628251,2,40,M,East,15,Credit,Spring,38.94316411368027
2023-01-02 00:00:00,Books,3.462404322438493,1,27,F,East,5,Cash,Fall,3.2892841063165683
2023-01-02 01:00:00,Sports,5.696227586482192,2,44,M,North,5,Digital,Summer,10.822832414316164
2023-01-02 02:00:00,Electronics,31.341462881906622,2,23,F,West,5,Cash,Winter,59.54877947562258
2023-01-02 03:00:00,Electronics,10.206552823668211,4,45,F,West,0,Cash,Spring,40.826211294672845
2023-01-02 04:00:00,Clothing,29.46531826961303,4,60,M,Center,0,Digital,Summer,117.86127307845211
2023-01-02 05:00:00,Home,14.231553494390237,2,23,F,North,0,Cash,Fall,28.463106988780474
2023-01-02 06:00:00,Sports,64.73713012601618,4,40,F,Center,20,Credit,Summer,207.1588164032518
2023-01-02 07:00:00,Sports,88.8394730345419,2,45,F,North,5,Credit,Summer,168.7949987656296
2023-01-02 08:00:00,Sports,193.1413662500689,1,43,M,East,10,Debit,Summer,173.82722962506202
2023-01-02 09:00:00,Clothing,24.64037772537738,3,38,F,West,0,Debit,Summer,73.92113317613214
2023-01-02 10:00:00,Home,25.080912058973702,3,8,M,West,0,Digital,Winter,75.24273617692111
2023-01-02 11:00:00,Books,28.511695541869187,5,56,F,Center,0,Debit,Fall,142.55847770934594
2023-01-02 12:00:00,Clothing,7.819598875942912,5,30,M,South,0,Credit,Summer,39.097994379714564
2023-01-02 13:00:00,Sports,134.20185419856134,6,9,F,West,15,Debit,Spring,684.4294564126627
2023-01-02 14:00:00,Electronics,9.57257386909245,3,43,F,North,15,Debit,Winter,24.410063366185746
2023-01-02 15:00:00,Home,10.531539975434079,1,44,M,South,0,Cash,Fall,10.531539975434079
2023-01-02 16:00:00,Books,31.457918966867663,3,31,M,West,10,Cash,Winter,84.93638121054269
2023-01-02 17:00:00,Electronics,14.173618780006459,2,42,M,North,20,Digital,Winter,22.677790048010337
2023-01-02 18:00:00,Home,24.033268631693158,2,25,F,North,5,Credit,Spring,45.663210400217
2023-01-02 19:00:00,Books,4.705786350231968,4,31,F,East,5,Credit,Spring,17.881988130881478
2023-01-02 20:00:00,Books,59.22497328322025,2,34,F,West,0,Digital,Summer,118.4499465664405
2023-01-02 21:00:00,Books,114.18183651850558,2,29,F,West,10,Cash,Summer,205.52730573331004
2023-01-02 22:00:00,Books,18.982089408555087,3,35,F,South,10,Digital,Fall,51.25164140309874
2023-01-02 23:00:00,Sports,67.39429944247033,6,29,F,North,15,Cash,Summer,343.71092715659864
2023-01-03 00:00:00,Home,21.410383978371065,2,23,M,West,0,Cash,Fall,42.82076795674213
2023-01-03 01:00:00,Home,20.142481354349748,1,25,M,South,10,Debit,Fall,18.128233218914772
2023-01-03 02:00:00,Sports,5.137163819935985,4,42,F,North,0,Cash,Summer,20.54865527974394
2023-01-03 03:00:00,Sports,26.417499702068152,2,23,F,South,0,Credit,Fall,52.834999404136305
2023-01-03 04:00:00,Home,23.10293358456027,4,36,F,East,0,Digital,Summer,92.41173433824108
2023-01-03 05:00:00,Books,17.699187551062266,2,65,F,North,10,Digital,Winter,31.85853759191208
2023-01-03 06:00:00,Electronics,32.674258379511386,5,30,M,West,5,Cash,Fall,155.20272730267908
2023-01-03 07:00:00,Sports,17.242255075885456,2,18,M,East,0,Digital,Spring,34.48451015177091
2023-01-03 08:00:00,Home,11.525312132469812,2,16,M,South,15,Debit,Summer,19.59303062519868
2023-01-03 09:00:00,Clothing,21.6445870747845,1,25,F,East,5,Digital,Spring,20.562357721045274
2023-01-03 10:00:00,Home,25.884582782000233,3,37,F,North,5,Debit,Winter,73.77106092870066
2023-01-03 11:00:00,Books,61.498414932694835,4,21,F,North,15,Credit,Fall,209.09461077116242
2023-01-03 12:00:00,Clothing,13.411564930738304,4,20,M,West,15,Cash,Spring,45.59932076451023
2023-01-03 13:00:00,Books,39.9828802887216,3,26,M,East,15,Debit,Spring,101.95634473624008
2023-01-03 14:00:00,Sports,14.278569120387958,2,23,M,North,0,Digital,Fall,28.557138240775917
2023-01-03 15:00:00,Electronics,30.171849504418343,2,17,F,Center,20,Debit,Fall,48.27495920706935
2023-01-03 16:00:00,Clothing,9.69927644541503,2,29,F,South,10,Digital,Spring,17.458697601747055
2023-01-03 17:00:00,Sports,12.85098322405376,3,43,M,North,10,Cash,Summer,34.69765470494515
